Methods,,Subjects,Tract,Distance
Proposed,387,64,CC,4.679788491672196
Proposed,388,64,CG,4.358401653182609
Proposed,389,64,CST,4.07793841019178
Proposed,390,65,AF,4.469868891021218
Proposed,391,65,ATR,2.93655231359043
Proposed,392,65,CA,2.9666411016850702
Proposed,393,65,CC,5.331935093984967
Proposed,394,65,CG,4.261628093484611
Proposed,395,65,CST,3.904099535799128
Proposed,396,66,AF,5.366345104677151
Proposed,397,66,ATR,2.9123254086292167
Proposed,398,66,CA,2.2707331586537496
Proposed,399,66,CC,5.282466533010551
Proposed,400,66,CG,4.530153753828217
Proposed,401,66,CST,3.17995599964251
Proposed,402,67,AF,4.2147176381107405
Proposed,403,67,ATR,2.8224274020928526
Proposed,404,67,CA,2.792943624657921
Proposed,405,67,CC,5.039982436140183
Proposed,406,67,CG,3.5686060574355785
Proposed,407,67,CST,3.819024824142843
Proposed,408,68,AF,6.843847514918532
Proposed,409,68,ATR,4.149355733034567
Proposed,410,68,CA,7.585257954073354
Proposed,411,68,CC,5.094046295442098
Proposed,412,68,CG,4.2380667367044955
Proposed,413,68,CST,3.914077588199821
Proposed,414,69,AF,6.184934962335443
Proposed,415,69,ATR,3.621238391073298
Proposed,416,69,CA,3.3995849541587124
Proposed,417,69,CC,6.161600420261227
Proposed,418,69,CG,4.568809908752813
Proposed,419,69,CST,4.190421906191111
Proposed,420,70,AF,6.0415348654214265
Proposed,421,70,ATR,3.50537238449675
Proposed,422,70,CA,4.93058951244517
Proposed,423,70,CC,5.467251317472577
Proposed,424,70,CG,4.950843803545254
Proposed,425,70,CST,3.5705571771775295
Proposed,426,71,AF,5.503591091200022
Proposed,427,71,ATR,2.953779186369273
Proposed,428,71,CA,3.1436420018002282
Proposed,429,71,CC,5.617458893425075
Proposed,430,71,CG,3.637991141677004
Proposed,431,71,CST,4.374402995299948
Proposed,432,72,AF,5.34922714003722
Proposed,433,72,ATR,3.640491801539531
Proposed,434,72,CA,3.1237700408641764
Proposed,435,72,CC,5.0918337000331215
Proposed,436,72,CG,4.570833011579214
Proposed,437,72,CST,4.066554455860977
Proposed,438,73,AF,5.550046326919544
Proposed,439,73,ATR,3.6816854093530025
Proposed,440,73,CA,7.7197612481544144
Proposed,441,73,CC,5.500245489808702
Proposed,442,73,CG,4.236127903887401
Proposed,443,73,CST,3.4727691314128335
Proposed,444,74,AF,5.593086876401078
Proposed,445,74,ATR,3.3578896988195144
Proposed,446,74,CA,6.414859999727402
Proposed,447,74,CC,5.364591733179836
Proposed,448,74,CG,4.291620531962821
Proposed,449,74,CST,2.7548397786678787
Proposed,450,75,AF,5.5974258020581
Proposed,451,75,ATR,3.1821564644645814
Proposed,452,75,CA,5.863045972483664
Proposed,453,75,CC,5.385810585759531
Proposed,454,75,CG,5.2008601360218245
Proposed,455,75,CST,3.280956150524924
Proposed,456,76,AF,5.553954182434531
Proposed,457,76,ATR,4.093581078756916
Proposed,458,76,CA,6.181503453381776
Proposed,459,76,CC,5.471782932256099
Proposed,460,76,CG,4.983017160293612
Proposed,461,76,CST,2.680822055577823
Proposed,462,77,AF,5.6830261867445735
Proposed,463,77,ATR,3.5960725909430544
Proposed,464,77,CA,3.709395457173887
Proposed,465,77,CC,5.881724141831693
Proposed,466,77,CG,4.543090285106608
Proposed,467,77,CST,4.457540430606513
Proposed,468,78,AF,4.615911597930155
Proposed,469,78,ATR,3.1264193060888763
Proposed,470,78,CA,6.04911354626314
Proposed,471,78,CC,5.471408768969704
Proposed,472,78,CG,4.307669943428772
Proposed,473,78,CST,3.3404103833101026
Proposed,474,79,AF,6.315662944628135
Proposed,475,79,ATR,4.998756044287717
Proposed,476,79,CA,4.519988628887922
Proposed,477,79,CC,6.392656194036212
Proposed,478,79,CG,4.769029088350482
Proposed,479,79,CST,3.7730473717579813
Proposed,480,80,AF,6.026960335624915
Proposed,481,80,ATR,3.3024999854981854
Proposed,482,80,CA,2.946830595517684
Proposed,483,80,CC,5.497513762086753
Proposed,484,80,CG,4.296048400949893
Proposed,485,80,CST,2.8253731633744716
Proposed,486,81,AF,6.307731157318997
Proposed,487,81,ATR,3.4981412679673514
Proposed,488,81,CA,5.646914202125185
Proposed,489,81,CC,5.001198817418076
Proposed,490,81,CG,3.7681745515579834
Proposed,491,81,CST,4.2830139700988745
Proposed,492,82,AF,5.970726888229353
Proposed,493,82,ATR,3.2528609471556655
Proposed,494,82,CA,3.293642437786553
Proposed,495,82,CC,4.898758311259397
Proposed,496,82,CG,3.805421208347753
Proposed,497,82,CST,3.3702860402779944
Proposed,498,83,AF,8.094017728114908
Proposed,499,83,ATR,4.548817741825336
Proposed,500,83,CA,9.033021714643342
Proposed,501,83,CC,4.882940543983969
Proposed,502,83,CG,4.148152477042162
Proposed,503,83,CST,3.863725621724734
Proposed,504,84,AF,5.812129544190375
Proposed,505,84,ATR,3.3481568000097135
Proposed,506,84,CA,4.735783664712417
Proposed,507,84,CC,6.208852162877961
Proposed,508,84,CG,4.8598835366790025
Proposed,509,84,CST,4.4917027150559194
Proposed,510,85,AF,5.71580742417147
Proposed,511,85,ATR,2.863120666730908
Proposed,512,85,CA,3.8520271719099615
Proposed,513,85,CC,5.380442341516128
Proposed,514,85,CG,3.722974287431643
Proposed,515,85,CST,3.5364495471746142
Proposed,516,86,AF,7.190623627083454
Proposed,517,86,ATR,3.5276330862508973
Proposed,518,86,CA,5.795265978874373
Proposed,519,86,CC,4.425270879551379
Proposed,520,86,CG,5.165773555804708
Proposed,521,86,CST,3.716875723655154
Proposed,522,87,AF,7.006563704116102
Proposed,523,87,ATR,3.913322669552359
Proposed,524,87,CA,3.7603520032896203
Proposed,525,87,CC,4.770795849978477
Proposed,526,87,CG,4.155544634337859
Proposed,527,87,CST,3.2567716375529643
Proposed,528,88,AF,5.816701541033917
Proposed,529,88,ATR,3.7454962595740393
Proposed,530,88,CA,5.6865561817632
Proposed,531,88,CC,5.047763299817369
Proposed,532,88,CG,4.864465812036913
Proposed,533,88,CST,3.7866783297663034
Proposed,534,89,AF,6.242812552214987
Proposed,535,89,ATR,3.219561511577823
Proposed,536,89,CA,3.564734441436552
Proposed,537,89,CC,5.317758326240169
Proposed,538,89,CG,3.9529184388185996
Proposed,539,89,CST,3.692248799265698
Proposed,540,90,AF,6.735659220857245
Proposed,541,90,ATR,3.0231157481004254
Proposed,542,90,CA,3.250006190358442
Proposed,543,90,CC,5.181665886491766
Proposed,544,90,CG,4.398402914917786
Proposed,545,90,CST,2.9283726716785394
Proposed,546,91,AF,5.37611708353924
Proposed,547,91,ATR,3.3330583769284945
Proposed,548,91,CA,3.316135261803158
Proposed,549,91,CC,5.754047469878315
Proposed,550,91,CG,4.573710503775686
Proposed,551,91,CST,3.784909174338833
Proposed,552,92,AF,6.35818184243647
Proposed,553,92,ATR,3.0357362183804564
Proposed,554,92,CA,3.9757677554307658
Proposed,555,92,CC,4.781313649691034
Proposed,556,92,CG,4.030651551785528
Proposed,557,92,CST,3.081844459298794
Proposed,558,93,AF,6.8394535191806405
Proposed,559,93,ATR,4.694716861598437
Proposed,560,93,CA,5.5035136254227695
Proposed,561,93,CC,5.793895826783097
Proposed,562,93,CG,5.271507015412845
Proposed,563,93,CST,5.15996378672799
Proposed,564,94,AF,4.7079452450022625
Proposed,565,94,ATR,3.335383900695595
Proposed,566,94,CA,6.971338090668442
Proposed,567,94,CC,5.04726756748464
Proposed,568,94,CG,4.245131373967236
Proposed,569,94,CST,5.248764435912961
Proposed,570,95,AF,6.176768724579912
Proposed,571,95,ATR,2.9521184371251494
Proposed,572,95,CA,5.151280743319413
Proposed,573,95,CC,5.093085261857553
Proposed,574,95,CG,4.277074752871052
Proposed,575,95,CST,3.5079599096780356
Proposed,576,96,AF,5.795328657440459
Proposed,577,96,ATR,3.9592555780538192
Proposed,578,96,CA,4.470437184106657
Proposed,579,96,CC,6.206572241785336
Proposed,580,96,CG,4.915317695080541
Proposed,581,96,CST,4.116006257344652
Proposed,582,97,AF,6.832402829402677
Proposed,583,97,ATR,4.379198386119911
Proposed,584,97,CA,5.882658326398819
Proposed,585,97,CC,5.446182711180564
Proposed,586,97,CG,4.815487244634327
Proposed,587,97,CST,4.659741441193623
Proposed,588,98,AF,6.594125405307453
Proposed,589,98,ATR,4.392944728099806
Proposed,590,98,CA,6.5751582870070795
Proposed,591,98,CC,6.381519492805557
Proposed,592,98,CG,5.210085622922044
Proposed,593,98,CST,4.229454679565109
Proposed,594,99,AF,6.151802044525198
Proposed,595,99,ATR,4.559114645855608
Proposed,596,99,CA,4.484204664241169
Proposed,597,99,CC,5.217512637634451
Proposed,598,99,CG,4.959971272178663
Proposed,599,99,CST,4.0485814269728495
Proposed,600,100,AF,5.114311550680652
Proposed,601,100,ATR,4.705224248920727
Proposed,602,100,CA,4.700176453927923
Proposed,603,100,CC,5.064657558597581
Proposed,604,100,CG,4.902999081230742
Proposed,605,100,CST,3.7293765192695227
Proposed,606,101,AF,5.557902717613521
Proposed,607,101,ATR,3.708471532827083
Proposed,608,101,CA,2.5402071016953403
Proposed,609,101,CC,4.861109152828929
Proposed,610,101,CG,4.338311405541792
Proposed,611,101,CST,4.453244659729727
Proposed,612,102,AF,6.108145559395092
Proposed,613,102,ATR,4.594776539272687
Proposed,614,102,CA,2.6139279053877966
Proposed,615,102,CC,6.129863146127399
Proposed,616,102,CG,5.076567384360558
Proposed,617,102,CST,5.668572523154627
Proposed,618,103,AF,6.022943864842848
Proposed,619,103,ATR,4.474877961125754
Proposed,620,103,CA,3.9651399097977236
Proposed,621,103,CC,5.36107283521241
Proposed,622,103,CG,4.545733664074785
Proposed,623,103,CST,4.035054882870455
Proposed,624,104,AF,5.574690570691544
Proposed,625,104,ATR,4.428673103484542
Proposed,626,104,CA,3.210663455276109
Proposed,627,104,CC,5.726201849724176
Proposed,628,104,CG,4.639648927302868
Proposed,629,104,CST,5.0837646305226745
Proposed,630,105,AF,7.598711056834046
Proposed,631,105,ATR,4.386152997947718
Proposed,632,105,CA,7.192759158611938
Proposed,633,105,CC,5.378033125955073
Proposed,634,105,CG,4.699553630063549
Proposed,635,105,CST,4.546324782874623
Proposed,636,106,AF,5.586824442880513
Proposed,637,106,ATR,7.225197417726096
Proposed,638,106,CA,4.608557904566778
Proposed,639,106,CC,7.11358398001164
Proposed,640,106,CG,5.277632943127076
Proposed,641,106,CST,4.0872508068140645
Proposed,642,107,AF,5.54498491692113
Proposed,643,107,ATR,3.3947419787467434
Proposed,644,107,CA,1.643590291358622
Proposed,645,107,CC,4.833407916945376
Proposed,646,107,CG,4.587604945329507
Proposed,647,107,CST,4.347776566153313
Proposed,648,108,AF,6.061938514394224
Proposed,649,108,ATR,4.429134132417786
Proposed,650,108,CA,3.096957655841246
Proposed,651,108,CC,5.5895417013502655
Proposed,652,108,CG,5.046512495241461
Proposed,653,108,CST,4.725550435256788
Proposed,654,109,AF,4.518470035253601
Proposed,655,109,ATR,3.848244278584264
Proposed,656,109,CA,3.8766842986953844
Proposed,657,109,CC,4.424014650536749
Proposed,658,109,CG,5.0709274832173366
Proposed,659,109,CST,3.6993386396750565
Proposed,660,110,AF,6.12383196257857
Proposed,661,110,ATR,6.105532665656387
Proposed,662,110,CA,
Proposed,663,110,CC,5.40609000039385
Proposed,664,110,CG,5.105214090707479
Proposed,665,110,CST,4.929184846797669
Proposed,666,111,AF,7.210026026539419
Proposed,667,111,ATR,4.054025267583628
Proposed,668,111,CA,3.4031799808027525
Proposed,669,111,CC,4.8856812461620205
Proposed,670,111,CG,5.7347221006800755
Proposed,671,111,CST,4.810756392243636
Proposed,672,112,AF,6.057567918517761
Proposed,673,112,ATR,3.370086435656158
Proposed,674,112,CA,2.306397017880774
Proposed,675,112,CC,5.0149525772497885
Proposed,676,112,CG,4.8866990318974395
Proposed,677,112,CST,3.6038292048374116
Proposed,678,113,AF,6.182721861306033
Proposed,679,113,ATR,4.61721340401296
Proposed,680,113,CA,5.670728291201109
Proposed,681,113,CC,5.64172483656908
Proposed,682,113,CG,5.1136649551083195
