Dice,Tract,Method
0.8270200630571722,AF,Proposed
0.8342136521013925,AF,Proposed
0.8317388857625211,AF,Proposed
0.8273697426239799,AF,Proposed
0.8250790625398348,AF,Proposed
0.8245611915777775,AF,Proposed
0.8250015433051423,AF,Proposed
0.8312586791437829,AF,Proposed
0.8274209586792701,AF,Proposed
0.8204948490982146,AF,Proposed
0.8301481216104365,AF,Proposed
0.8398420304619603,AF,Proposed
0.819430168216706,AF,Proposed
0.8340089477717082,AF,Proposed
0.8287839676815016,AF,Proposed
0.822602845415548,AF,Proposed
0.8097308609719162,AF,Proposed
0.8201105114366487,AF,Proposed
0.7747060228811085,AF,Proposed
0.8330818361552343,AF,Proposed
0.8344765956375628,AF,Proposed
0.828214020312113,AF,Proposed
0.8354865169691377,AF,Proposed
0.829776015934699,AF,Proposed
0.833097490131824,AF,Proposed
0.818990386057084,AF,Proposed
0.7614159340810759,AF,Proposed
0.8226851823887215,AF,Proposed
0.8309573318846281,AF,Proposed
0.8253274266866413,AF,Proposed
0.8224194420587206,AF,Proposed
0.8201810961883805,AF,Proposed
0.8249114186594896,AF,Proposed
0.810726152674475,AF,Proposed
0.8171936324531383,AF,Proposed
0.8256821176036303,AF,Proposed
0.8185854451773218,AF,Proposed
0.8115999016957484,AF,Proposed
0.8264582246825302,AF,Proposed
0.8292667319370589,AF,Proposed
0.810172547644687,AF,Proposed
0.821696850071975,AF,Proposed
0.8158561108214791,AF,Proposed
0.8222766371570289,AF,Proposed
0.8048254321183727,AF,Proposed
0.8139572909513064,AF,Proposed
0.7812797826248589,AF,Proposed
0.8180633520449078,AF,Proposed
0.8201617602797185,AF,Proposed
0.8231454940624311,AF,Proposed
0.8291683789619251,AF,Proposed
0.8279980382020387,AF,Proposed
0.8307540772450893,AF,Proposed
0.8035879799014586,AF,Proposed
0.7702646713903499,AF,Proposed
0.8162866689597563,AF,Proposed
0.8172530781839668,AF,Proposed
0.8187058224325768,AF,Proposed
0.8208766307938331,AF,Proposed
0.8270621370114166,AF,Proposed
0.8218328032167077,AF,Proposed
0.818101534423334,AF,Proposed
0.8225732287770142,AF,Proposed
0.820101663035844,AF,Proposed
0.8248275530848337,AF,Proposed
0.8332003780022337,AF,Proposed
0.8357632772384843,AF,Proposed
0.8156074772069929,AF,Proposed
0.8287005205775464,AF,Proposed
0.8223988553205163,AF,Proposed
0.825089065077292,AF,Proposed
0.8032969941069781,AF,Proposed
0.8193838221405416,AF,Proposed
0.7835397996837111,AF,Proposed
0.8357880180384142,AF,Proposed
0.8224417078202163,AF,Proposed
0.824310357555922,AF,Proposed
0.8342880419562616,AF,Proposed
0.8175959145415171,AF,Proposed
0.8352569793824602,AF,Proposed
0.8189624862191234,AF,Proposed
0.7694369973190348,AF,Proposed
0.8215170956842175,AF,Proposed
0.8211474403111451,AF,Proposed
0.8213672340555572,AF,Proposed
0.8220105693727048,AF,Proposed
0.8139454731287585,AF,Proposed
0.8201466802661616,AF,Proposed
0.8256574900976702,AF,Proposed
0.8274549098196393,AF,Proposed
0.8188697414802618,AF,Proposed
0.8198474024396171,AF,Proposed
0.8300482255471745,AF,Proposed
0.8135431107021569,AF,Proposed
0.8277848678213309,AF,Proposed
0.8194320221380507,AF,Proposed
0.8196701408912388,AF,Proposed
0.8080315232177184,AF,Proposed
0.8153723746858463,AF,Proposed
0.7853390172995945,AF,Proposed
0.8251970221040326,AF,Proposed
0.8244196406474286,AF,Proposed
0.8273102641867943,AF,Proposed
0.8237576368331548,AF,Proposed
0.8237340820855906,AF,Proposed
0.8261904471271804,AF,Proposed
0.8123970990032987,AF,Proposed
0.764847501183472,AF,Proposed
0.8194087059872233,AF,Proposed
0.8301845086421269,AF,Proposed
0.82778397891087,AF,Proposed
0.8268388804528293,AF,Proposed
0.8311694582767466,AF,Proposed
0.8331713043637764,AF,Proposed
0.8254104077410431,AF,Proposed
0.8257462024942372,AF,Proposed
0.826614486136527,AF,Proposed
0.8353134238459032,AF,Proposed
0.8219483130108213,AF,Proposed
0.8362485122014585,AF,Proposed
0.8277928309679268,AF,Proposed
0.8205069402534702,AF,Proposed
0.8079037233569878,AF,Proposed
0.816406715832418,AF,Proposed
0.7701276744592782,AF,Proposed
